OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F31,F33,F34,F36,F38,F43,F44,F45,F49,F63,F65,PR
3,6,2232,1,3,3,3,4,1,2,5,0,0,0,0,2,2,5,2,0,4.864285714,6.177
3,6,2232,1,3,3,4,2,2,2,4,0,0,0,0,2,2,5,2,0,5.072857143,6.177
2,6,2217,1,1,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,5.281428571,10
2,6,2228,1,1,3,1,6,0,0,0,0,0,0,0,2,2,5,1,0,5.49,9.074
1,4,2026,4,1,2,2,5,1,1,4,0,0,0,0,2,2,4,1,0,5.745,5.891
1,4,1987,3,3,1,2,5,3,2,2,0,0,0,0,1,2,4,2,0,6,4.742
2,6,1968,2,3,3,3,4,1,2,1,0,0,0,0,2,2,5,2,0,6.255,6.741
2,4,1479,2,3,3,2,5,1,1,4,0,0,0,0,2,2,5,1,0,6.51,5.838
3,4,2195,1,1,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,5.49,10
3,4,2195,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,4.47,10
3,4,2009,3,1,3,2,5,1,1,5,0,0,0,0,4,0,0,1,0,3.45,10
3,4,2241,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,4.885,10
1,2,2292,3,2,2,2,1,2,2,1,0,0,0,0,1,2,4,1,0,6.32,3.993
3,4,1493,2,2,3,2,4,2,2,5,0,0,0,0,4,0,0,1,0,3.69,10
1,4,1418,2,2,4,2,1,2,2,1,0,0,0,0,1,2,5,2,0,5.82,4.471
1,4,1340,3,3,3,2,2,2,2,1,0,0,0,0,1,2,4,1,0,7.13,5.019
3,4,1887,4,2,3,2,3,2,2,4,0,0,0,0,2,2,4,1,0,6.67,5.422
1,3,1632,2,3,3,2,2,2,3,1,0,0,0,0,1,2,4,2,0,6.42,4.962
1,4,1348,2,1,4,2,1,3,3,1,0,0,0,0,1,2,4,1,0,7.89,4.833
1,3,1407,3,2,4,3,1,2,2,4,0,0,0,0,2,1,3,1,0,6.35,4.894
3,1,2017,1,3,4,2,5,1,1,1,0,0,0,0,1,2,4,2,0,6.085714286,5.434
2,3,1971,1,2,3,1,4,1,2,1,0,0,0,0,1,1,2,1,0,5.821428571,5.729
2,6,2039,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,5.557142857,10
2,4,1363,1,2,4,1,5,1,1,5,0,0,0,0,5,0,0,1,0,5.292857143,10
3,6,1824,1,3,3,2,6,0,0,0,0,0,0,0,4,0,0,1,0,5.028571429,10
1,6,2146,1,3,3,2,5,1,1,5,0,0,0,0,5,0,0,1,0,4.764285714,10
2,4,1421,1,1,3,1,5,1,1,5,0,0,0,0,1,3,5,1,0,4.5,5.207
2,4,1337,3,2,4,1,4,2,1,5,0,0,0,0,3,2,5,1,0,4.826666667,5.415
3,4,1408,1,1,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,5.153333333,10
2,4,1624,2,3,4,3,2,2,2,5,0,0,0,0,4,2,3,1,0,5.48,10
3,4,2075,1,2,3,1,5,1,1,5,0,0,0,0,4,0,0,1,1,7.12,10
3,4,1692,1,1,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,4.65,10
2,6,1945,4,3,3,4,3,1,1,4,1,0,0,0,1,2,4,1,0,4.96875,7.012
1,4,2254,4,3,3,2,4,1,2,3,0,0,0,0,1,2,5,2,0,5.2875,6.565
2,4,2241,2,1,2,2,5,2,2,1,0,0,0,0,1,1,1,2,0,5.60625,5.44
2,4,1971,1,2,3,2,4,1,1,5,0,0,0,0,5,0,0,1,0,5.925,10
3,6,2039,1,3,3,1,6,0,0,0,0,0,0,0,4,0,0,2,0,6.24375,10
1,6,2092,1,1,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,6.5625,10
2,4,1974,4,3,4,3,4,3,2,1,0,0,0,0,1,2,4,2,0,6.88125,4.492
3,2,1706,1,1,2,2,1,2,2,5,0,0,0,0,2,1,3,1,0,7.2,4.645
2,2,1947,2,3,4,2,5,1,1,5,0,0,0,0,4,0,0,2,0,6.885,10
2,4,1428,2,3,4,2,2,2,2,2,0,0,0,0,2,1,5,2,0,6.57,5.352
2,6,1801,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.342,10
1,6,1943,1,3,3,1,6,0,0,0,0,0,0,0,4,0,0,2,0,6.114,10
1,4,2062,4,3,2,3,4,2,3,1,0,0,0,0,1,1,4,2,0,5.886,5.877
1,4,1947,4,3,2,3,3,3,2,1,0,0,0,0,1,1,5,2,0,5.658,4.606
2,6,2038,1,2,2,1,5,1,1,5,1,0,0,0,3,2,2,1,0,5.43,6.699
2,6,2029,1,3,3,2,4,1,1,2,0,0,0,0,5,0,0,2,0,4.48,10
3,4,2241,1,1,4,2,5,1,1,5,0,0,0,0,5,0,0,1,0,3.53,10
2,4,2341,1,2,5,1,2,2,1,5,0,0,0,0,4,0,0,1,0,5.13,10
0,4,2341,1,2,4,2,4,2,2,5,0,0,0,0,5,0,0,1,0,4.01,10
3,4,2075,4,2,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,3.955,10
3,4,1698,1,3,3,1,4,2,2,5,0,0,0,0,2,2,4,1,0,3.9,5.796
3,5,1677,1,1,3,2,4,1,1,5,0,0,0,0,4,0,0,1,0,3.89,10
3,4,1464,1,1,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,4.04,10
1,4,1516,2,2,3,2,1,4,2,3,0,0,0,0,1,2,5,1,0,6.97,4.748
2,3,2118,1,2,4,2,2,1,1,1,0,0,0,0,1,2,2,1,0,6.885714286,4.438
3,4,2140,1,3,3,2,5,2,3,5,0,0,0,0,3,2,4,1,0,6.801428571,7.559
2,6,2181,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.717142857,10
2,6,2077,1,3,2,4,1,2,2,4,2,0,0,0,2,2,3,2,0,6.632857143,5.438
2,5,1835,3,3,3,3,4,3,2,4,0,0,0,0,1,1,4,2,0,6.548571429,5.999
3,4,1911,1,2,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,6.464285714,10
2,4,2011,4,1,5,3,2,2,2,5,0,0,0,0,2,1,2,1,0,6.38,4.038
2,4,1380,2,2,3,2,3,2,2,2,0,0,0,0,3,2,4,2,0,6.42,5.314
2,3,1380,1,1,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,6.39125,10
1,4,1970,4,3,2,4,3,3,3,1,0,0,0,0,1,1,2,3,0,6.3625,5.016
1,2,2207,4,3,2,3,5,1,2,3,0,0,0,0,1,1,4,2,0,6.33375,4.861
1,4,2202,3,3,3,3,4,2,2,5,0,0,0,0,2,1,5,2,0,6.305,5.665
1,6,2111,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,2,0,6.27625,10
2,6,2099,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.2475,10
2,6,1987,1,3,3,2,6,0,0,0,0,0,0,0,5,0,0,1,0,6.21875,10
2,5,1357,2,2,4,2,2,2,2,1,0,0,0,0,1,2,4,2,0,6.19,4.708
2,6,2080,4,3,5,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.38,10
2,4,1329,3,2,3,2,5,1,1,5,0,0,0,0,4,0,0,1,0,6.57,10
2,4,1329,1,2,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,5.29,10
3,4,1342,1,2,4,1,5,1,1,5,0,0,0,0,4,0,0,1,0,4.01,10
3,4,1342,1,1,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,5.2,10
1,2,1907,2,2,2,3,1,2,2,1,0,0,0,0,1,2,4,2,0,6.39,3.621
3,4,1907,1,1,3,2,3,1,1,5,0,0,0,0,4,0,0,1,0,4.1,10
