OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
5,0.01,2,2,4,1426,4,0,0,0,0,0,3,4,4,2,2,2,4,3,3,2,2,5,0,0,0,2,1,3,3,1,1,6.02,0,6.254
3,0.04,2,2,5,1799,3,1,1,0,4,0,2,2,4,2,1,2,4,2,3,4,1,1,0,0,0,1,2,4,3,2,1,6.47,0,4.218
5,0.57,2,3,5,1329,4,0,0,0,2,0,2,5,3,2,1,2,3,4,2,1,2,1,0,0,0,1,1,2,2,2,1,6.92,0,5.904
5,0.6,1,3,4,1418,4,1,0,1,0,1,2,4,3,1,1,2,3,4,2,1,2,1,0,0,0,1,2,2,3,1,1,6.17,0,5.837
2,0.0787,1,3,6,1670,2,2,0,4,0,0,3,2,2,1,1,3,3,1,1,6,0,0,0,0,0,4,0,0,3,2,6,4.9,0,10
1,0.58,4,3,4,1551,1,2,0,3,0,3,1,2,1,1,1,2,3,2,1,5,1,5,0,0,0,4,0,0,3,1,1,3.63,0,10
1,0.58,3,3,4,1551,1,1,0,1,0,3,0,3,4,1,1,2,3,2,1,5,1,5,0,0,0,5,0,0,3,1,1,3.53,0,10
1,0.1,3,1,6,1945,3,0,0,5,0,2,1,1,3,4,1,2,3,1,2,5,1,4,0,0,0,2,2,4,3,1,1,3.89,0,3.928
5,0.03,3,1,6,2181,1,0,0,2,0,2,4,2,1,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,4.25,0,10
2,0.061,3,3,6,2038,1,3,0,2,0,2,3,0,2,1,1,2,4,1,2,6,0,0,0,0,0,5,0,0,3,1,1,4.61,0,10
2,0.469,3,2,5,2083,3,0,0,0,5,0,1,0,3,4,1,3,3,3,4,2,1,3,0,0,0,1,1,4,3,2,1,4.97,0,5.385
1,0.907,2,2,5,1669,2,3,0,1,0,0,4,0,1,2,1,3,3,1,2,5,1,1,0,0,0,1,2,4,3,2,1,5.33,0,4.037
1,0.03,1,2,6,2026,1,1,0,2,1,2,4,1,3,1,1,3,3,1,2,5,1,5,1,0,0,5,0,0,3,1,1,5.69,0,10
1,0.47,1,2,6,2008,2,0,0,3,0,1,4,1,3,1,1,3,3,1,3,3,1,5,1,0,0,2,2,4,3,1,1,6.05,0,5.501
4,0.26,1,3,4,2003,3,1,1,0,5,0,1,0,4,2,3,2,1,4,2,2,2,5,0,0,0,1,2,4,3,1,1,6.41,0,5.954
5,0.01,2,3,4,2194,3,1,1,1,4,1,1,1,3,3,2,3,3,4,3,2,2,4,0,0,0,1,2,5,3,1,1,5.02,0,6.071
1,0.0202,3,2,4,1883,3,2,2,0,3,0,2,0,2,3,2,3,2,4,2,3,3,1,0,0,0,1,2,4,3,2,1,5.255,0,5.134
5,0.86,3,2,4,1911,3,4,2,2,2,1,1,1,3,2,2,3,2,3,1,4,1,5,0,0,0,5,0,0,3,1,1,5.49,0,10
5,0.1,3,3,4,2217,3,3,2,2,3,1,1,1,3,2,2,3,3,4,2,2,1,5,0,0,0,5,0,0,3,1,1,6.43,0,10
1,0.29,2,3,6,1735,2,0,0,0,2,0,4,3,3,1,1,2,2,2,2,6,0,0,0,0,0,2,2,1,3,1,1,5.53,0,5.339
3,0.111,1,2,4,1864,2,1,0,0,0,0,2,5,3,1,1,1,4,3,2,3,2,5,0,0,0,4,0,0,3,1,2,4.63,0,10
