OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F41,F50,F51,F52,F66b,S2,NR_Benefit
4,3,5,0,4,4,2,2,3,1,0,5,0,0,76.25,0,2.143
2,1,5,0,4,4,3,1,3,1,0,4,2,1,80.625,0,10
1,3,6,0,4,4,2,1,3,3,0,5,0,0,85,0,2.5
1,3,6,0,4,4,0,1,3,2,0,5,0,0,88,0,2.083
1,2,3,0,4,4,3,1,3,1,0,4,2,2,89,0,6.667
5,3,5,0,4,4,3,1,3,2,0,5,0,0,90,0,0.893
5,3,5,1,4,4,3,1,3,1,0,5,0,0,55,0,10
5,3,4,0,4,4,3,1,3,1,0,5,0,0,48,0,0.833
1,1,4,0,4,4,1,1,3,2,1,4,2,3,183,0,10
2,2,4,0,4,4,2,1,3,1,0,5,0,0,162.875,0,6.667
4,2,4,0,4,4,3,1,2,2,0,4,2,2,142.75,0,6.667
4,3,5,0,4,4,2,1,3,2,0,3,2,3,122.625,0,4.028
4,3,4,0,4,4,2,1,3,2,0,4,2,2,102.5,0,2.778
4,1,5,0,4,4,2,2,3,2,1,5,0,0,82.375,0,10
4,3,5,0,4,4,3,1,3,1,0,5,0,0,62.25,0,1.032
4,3,3,0,4,4,2,1,2,1,0,5,0,0,42.125,0,2.917
5,3,4,0,4,4,2,1,3,2,1,5,0,0,22,0,4.167
5,3,4,0,4,4,2,1,3,2,0,5,0,0,22.875,0,1.667
2,1,5,0,4,4,1,2,3,1,1,5,0,0,23.75,0,10
4,3,5,0,4,4,1,1,3,1,1,5,0,0,24.625,0,5
4,3,4,0,4,4,1,3,1,3,0,5,0,0,25.5,0,5
3,3,3,0,4,4,1,2,3,1,0,5,0,0,26.375,0,2.897
3,3,5,0,4,4,2,3,3,1,0,5,0,0,27.25,0,2.976
3,3,5,0,4,4,2,3,3,1,0,4,2,2,28.125,0,2.976
5,3,2,1,4,4,2,1,3,2,0,5,0,0,29,0,10
2,3,6,0,4,4,2,1,3,1,0,5,0,0,66.5,0,1.667
4,3,5,0,4,4,2,1,3,1,0,5,0,0,104,0,1.667
4,3,5,0,4,4,2,1,3,1,0,5,0,0,89.5,0,1.667
3,3,6,0,4,4,3,1,2,1,0,5,0,0,75,0,2.083
3,3,6,0,4,4,3,1,2,1,0,5,0,0,82.5,0,2.083
3,2,6,0,4,4,1,1,3,5,0,5,0,0,90,0,6.667
4,3,6,0,4,4,3,1,3,1,0,5,0,0,61,0,0.833
5,3,4,0,4,4,3,1,3,1,0,5,0,0,53,0,0.833
2,2,1,1,4,4,3,1,3,2,1,5,0,0,156,0,10
5,3,5,0,4,4,2,1,3,3,1,5,0,0,134,0,4.167
4,3,4,0,4,4,1,1,1,1,1,5,0,0,134,0,7.5
1,2,5,0,4,4,2,2,3,4,0,3,1,3,134,0,6.667
1,1,5,0,4,4,2,1,2,3,1,5,0,0,134,0,10
1,2,5,0,4,4,2,1,2,4,1,5,0,0,134,0,6.667
0,3,5,0,4,4,2,1,1,2,1,4,2,3,134,0,6.944
4,3,5,0,4,1,1,1,3,1,0,5,0,0,134,0,10
1,1,5,0,4,4,2,1,3,3,0,4,2,2,134,0,10
