Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
0,0,0,3,3,3,0,0,0,2,0,5.7,243.0,237.3,1,2.44,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.28,1,0.0,0
0,0,0,1,3,0,0,0,0,2,0,5.7,97.7,92.0,1,1.72,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.28,1,3.32,1
2,5,0,1,0,3,0,0,0,2,0,5.7,85.3,79.6,1,-0.27,0,0.0,0,3.95,1,0.0,0,-1.96,0,0.0,0,1.15,0,0.0,0
0,6,0,3,1,3,2,0,0,3,0,5.7,60.3,54.6,1,1.27,0,0.0,0,5.18,1,0.0,0,0.67,0,0.0,0,3.22,1,0.0,0
3,3,3,0,0,0,3,0,2,1,0,5.7,48.0,42.3,7,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.546442687747036,2,0.0,0
2,5,0,1,0,3,0,0,1,0,0,5.7,22.0,16.3,6,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,6.55,2,0.0,0
1,1,3,0,0,0,3,0,2,1,0,5.7,12.7,6.999999999999999,7,3.073673531374684,0,4.077743931051089,1,2.408991972171535,0,5.739039593674248,2,2.42215783927728,1,10.0,2,1.800112930547713,0,0.0,0
0,0,2,2,2,0,1,1,0,2,1,5.5,45.0,39.5,2,1.680672268907563,0,0.0,0,4.911930147336039,1,0.0,0,0.6774855791865263,0,10.0,2,0.864624505928854,0,0.0,0
0,6,0,1,1,1,2,0,0,3,0,5.3,232.0,226.7,1,0.54,0,3.86,1,5.24,1,5.41,2,0.27,0,3.72,1,-0.21,0,0.0,0
2,5,0,1,1,0,0,0,0,0,0,5.3,161.3,156.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.93,2,0.0,0
