OF22,OF26,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F20,F21,F22,F28,F31,F43,F44,F45,F48,F49,WS
2,3,0,0,0,1,0,2,0,2,3,2,1,1,1,1,2,3,1,2.191
2,6,1,0,2,0,2,3,2,3,3,1,0,0,5,0,0,3,1,8.056
2,4,5,0,5,0,1,1,1,2,4,2,1,5,5,0,0,3,1,6.045
3,6,1,0,3,0,0,4,2,3,3,1,0,0,4,0,0,3,1,8.611
1,6,0,0,0,0,1,5,2,3,3,1,1,5,5,0,0,3,1,5.312
2,4,2,0,2,0,3,3,2,1,3,2,1,5,1,3,5,3,1,2.389
2,4,1,0,1,5,1,1,1,2,4,3,2,5,3,2,5,3,1,5.698
3,4,1,0,1,0,2,2,3,1,3,2,1,5,4,0,0,3,1,6.184
2,4,2,1,0,1,0,3,4,3,4,3,2,5,4,2,3,3,1,6.844
3,4,1,0,3,0,3,2,2,2,3,2,1,5,4,0,0,2,1,5.906
3,4,1,0,1,0,2,1,4,1,3,1,0,0,4,0,0,3,1,7.361
2,6,0,0,0,5,0,2,1,3,3,2,1,4,1,2,4,3,1,2.568
1,4,3,0,3,0,2,0,2,3,3,2,1,3,1,2,5,1,2,1.8
2,4,0,0,0,2,0,4,3,1,2,1,2,1,1,1,1,3,2,1.348
2,4,2,0,2,0,2,0,3,2,3,2,1,5,5,0,0,1,1,5.628
3,6,1,0,3,0,2,4,1,3,3,1,0,0,4,0,0,3,2,7.111
1,6,0,0,2,0,2,3,2,1,3,1,0,0,4,0,0,1,1,4.583
2,4,3,0,0,4,0,0,0,3,4,3,3,1,1,2,4,3,2,3.054
3,2,0,1,0,3,0,2,3,1,2,5,2,5,2,1,3,3,1,5.629
2,2,5,0,2,0,0,0,0,3,4,2,1,5,4,0,0,3,2,5.816
2,4,4,0,2,3,1,1,0,3,4,4,2,2,2,1,5,3,2,5.282
2,6,2,0,2,0,1,3,2,3,3,1,0,0,5,0,0,3,1,8.056
1,6,0,0,2,0,1,4,3,3,3,1,0,0,4,0,0,3,2,6.0
1,4,0,0,0,5,0,0,3,3,2,3,2,1,1,1,4,3,2,2.522
1,4,0,2,0,5,0,0,0,3,2,3,3,1,1,1,5,3,2,2.852
2,6,0,0,0,1,0,5,2,2,2,2,1,5,3,2,2,3,1,4.816
2,6,1,0,3,1,1,3,2,3,3,1,1,2,5,0,0,3,2,5.139
3,4,2,0,2,1,2,4,1,1,4,2,1,5,5,0,0,3,1,6.184
2,4,0,3,0,3,0,3,0,2,5,4,2,5,4,0,0,3,1,7.271
0,4,4,2,1,1,1,2,0,2,4,2,2,5,5,0,0,3,1,6.174
3,4,5,0,2,0,0,0,0,2,3,1,0,0,4,0,0,3,1,8.194
3,4,1,0,2,2,2,3,3,3,3,2,2,5,2,2,4,3,1,4.775
3,5,1,0,1,1,3,3,2,1,3,2,1,5,4,0,0,3,1,6.236
3,4,1,0,1,0,2,3,2,1,3,2,1,5,4,0,0,0,1,5.767
1,4,0,0,0,4,0,2,2,2,3,4,4,3,1,2,5,3,1,4.138
2,3,0,0,0,1,0,1,6,2,4,4,1,1,1,2,2,3,1,2.858
3,4,2,0,0,3,2,4,1,3,3,1,2,5,3,2,4,3,1,4.65
2,6,2,0,3,0,2,3,1,1,3,1,0,0,5,0,0,3,1,6.806
2,6,1,1,0,2,0,1,4,3,2,3,2,4,2,2,3,3,2,4.715
2,5,3,0,3,0,0,2,2,3,3,3,3,4,1,1,4,3,2,3.379
3,4,2,0,2,0,2,3,2,2,3,1,1,5,4,0,0,3,1,5.434
2,4,0,0,0,0,0,0,6,1,5,3,2,5,2,1,2,3,1,5.209
2,4,1,0,1,0,1,4,3,2,3,2,2,2,3,2,4,3,2,5.011
2,3,1,0,1,0,1,2,3,1,3,2,1,5,5,0,0,3,1,5.993
1,4,0,3,0,0,0,2,4,3,2,3,3,1,1,1,2,3,3,2.646
1,2,6,0,0,0,1,1,0,3,2,2,1,3,1,1,4,3,2,1.946
1,4,5,0,2,0,2,0,0,3,3,2,2,5,2,1,5,3,2,4.543
1,6,0,0,3,0,0,4,2,3,3,1,0,0,5,0,0,3,2,6.0
2,6,4,0,2,0,2,3,1,3,3,1,0,0,5,0,0,3,1,8.056
2,6,1,0,4,0,3,3,1,3,3,1,0,0,5,0,0,3,1,8.056
2,5,0,0,1,1,1,3,3,2,4,4,2,1,1,2,4,3,2,3.203
2,6,0,4,0,2,0,2,1,3,5,4,0,0,5,0,0,3,1,8.889
2,4,1,0,1,0,1,0,0,2,3,2,1,5,4,0,0,3,1,6.045
2,4,2,0,2,0,2,3,1,2,3,2,1,5,4,0,0,3,1,6.045
3,4,5,0,1,0,1,1,0,2,4,1,1,5,4,0,0,3,1,5.434
3,4,3,0,3,0,3,2,1,1,3,1,1,5,5,0,0,3,1,5.434
1,2,1,1,0,4,0,2,1,2,2,4,2,1,1,2,4,3,2,2.73
3,4,2,0,3,0,2,2,3,1,3,3,1,5,4,0,0,3,1,6.559
3,4,2,0,2,0,2,4,2,2,3,2,1,5,4,0,0,3,1,6.184
3,4,0,0,0,1,0,2,5,2,4,4,2,4,2,1,3,3,1,5.496
2,4,4,0,2,2,1,1,1,3,4,3,2,5,1,2,5,2,1,2.921
1,3,4,0,2,2,1,2,2,1,1,1,2,1,1,2,4,3,2,1.585
2,4,2,1,1,4,1,2,0,2,2,0,2,3,1,1,1,1,1,1.182
2,4,0,0,0,3,0,2,4,2,4,2,2,1,1,1,1,3,1,2.407
2,4,0,0,0,4,0,2,2,2,2,3,2,2,1,2,1,2,2,2.212
2,4,3,0,0,1,0,4,0,2,1,2,1,1,1,2,4,3,3,2.197
1,6,1,0,2,0,2,5,2,1,3,1,0,0,4,0,0,3,1,6.25
2,4,2,3,0,2,0,0,0,2,5,2,0,0,1,2,4,1,2,5.306
