OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
1,0.25,1,3,5,2141,1,0,0,3,0,3,2,3,1,0,1,2,2,0,3,1,0,4,4,2,0,0,0,2,0,0,0.0,2.071467784518323,0,0
4,0.2,1,1,2,1971,1,0,0,0,1,0,2,0,3,0,0,1,2,1,0,3,0,0,0,0,0,0,0,2,0,0,0.5,0.6774855791865263,0,1
4,0.13,1,3,5,1903,0,0,0,1,0,3,4,1,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.22,0,3,5,2192,0,0,0,0,0,2,3,3,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.005,1,3,5,2039,0,1,0,2,0,2,3,2,1,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.03,2,1,5,2181,0,0,0,2,0,2,4,2,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.12,1,3,5,2181,0,2,0,3,0,2,3,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.3333333333333333,10.0,2,0
0,0.146,0,3,5,2139,0,1,0,3,0,4,0,5,2,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.38,0,3,5,2039,0,0,0,2,1,3,3,1,2,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
1,0.061,2,3,5,2038,0,3,0,2,0,2,3,0,1,0,0,1,3,0,1,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.22,1,3,3,2272,3,0,0,0,0,2,0,5,3,1,0,0,1,0,3,2,1,4,4,1,2,0,0,0,1,0,0.4166666666666667,1.144884927619434,0,0
1,0.28,1,3,3,1974,2,3,0,0,4,0,0,0,3,3,0,2,3,2,2,3,2,0,0,0,0,1,0,2,1,5,0.0,1.67,0,3
2,0.1837,1,3,3,1865,3,1,1,0,2,0,2,4,1,2,0,2,2,2,3,1,1,2,3,4,0,0,0,2,0,5,0.0,3.44,1,2
1,0.004,1,2,3,2034,3,0,0,0,2,0,1,5,0,2,0,2,1,2,3,1,1,2,3,1,0,1,0,2,1,5,0.0,2.88,1,2
2,0.38,1,1,3,1904,3,0,0,0,1,0,0,5,3,1,0,2,2,1,3,1,1,3,2,1,0,1,0,2,1,5,0.0,2.16,0,2
4,0.67,2,3,1,1706,2,0,1,0,3,0,2,3,0,0,0,0,1,4,1,0,1,4,0,0,0,1,0,2,0,0,0.0,3.531245082067082,1,2
1,0.469,2,2,4,2083,2,0,0,0,5,0,1,0,2,3,0,2,2,2,3,1,0,2,0,0,0,0,0,2,1,0,0.0,2.18,0,3
3,0.3122,1,2,3,1846,3,0,0,0,0,0,4,4,3,0,0,2,2,2,3,1,2,3,3,3,2,1,0,2,1,5,0.0,3.13,1,1
1,0.49,1,1,3,1846,3,0,0,1,3,0,1,5,2,1,1,2,2,1,2,1,1,3,4,2,2,1,1,2,0,5,0.0,2.0,0,2
2,0.05,1,1,3,2041,2,1,0,0,3,0,4,3,3,3,0,2,2,2,3,1,0,2,3,2,1,1,0,2,0,0,0.0,1.65,0,0
1,0.156,1,2,1,1947,2,5,0,2,0,0,0,0,3,1,0,2,3,1,1,4,0,4,0,0,0,0,0,2,1,5,0.0,10.0,2,0
3,0.603,1,2,5,2077,3,1,1,0,2,0,1,4,3,0,0,2,1,2,3,0,1,3,1,0,0,0,0,2,1,0,0.0,3.56,1,2
1,0.005,1,2,2,2024,2,0,4,0,2,0,1,1,3,3,0,1,0,2,1,3,3,2,2,4,0,1,0,2,1,5,0.0,10.0,2,0
0,0.38,0,1,3,1833,3,0,0,2,1,0,1,5,2,0,1,2,3,1,4,1,0,4,4,2,0,0,0,2,0,1,0.0,1.874014641848722,0,4
1,0.528,1,3,4,1835,1,3,0,3,0,0,2,2,0,2,0,2,2,2,2,3,2,3,0,0,0,1,0,2,1,5,0.3333333333333333,1.31,0,3
4,0.17,2,2,3,1911,0,2,0,2,0,2,3,2,0,0,0,1,2,0,0,4,0,4,0,0,0,0,0,2,0,5,0.0,10.0,2,0
0,0.907,1,2,4,1669,1,3,0,1,0,0,4,0,0,1,0,2,2,0,1,4,0,0,0,0,0,1,0,2,1,0,0.0,0.27,0,3
0,0.03,0,2,5,2026,0,1,0,2,1,2,4,1,2,0,0,2,2,0,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.47,0,2,5,2008,1,0,0,3,0,1,4,1,2,0,0,2,2,0,2,2,0,4,0,0,0,0,0,2,0,0,0.0,2.37,1,3
0,0.28,2,3,5,1824,0,1,0,3,0,0,4,2,0,0,0,2,2,0,1,5,0,0,0,0,0,0,0,2,0,5,0.0,10.0,2,0
3,0.322,0,2,3,1991,3,1,1,0,2,0,0,5,0,0,0,1,2,2,3,1,1,2,2,3,1,1,0,2,0,0,0.0,3.56,1,1
