OF19,OF20,OF21,OF22,OF23,OF24,F40,F48,F50,F52,F66,S2,PR_Benefit,PR Benefit Rating
0.09183673469387756,3,3,1,1,1,2,2,4,0,137.2142857142857,0.4444444444444444,10.0,2
0.09183673469387756,3,3,1,0,2,0,2,4,0,104.0,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,1,0,2,4,0,75.0,0.0,0.0,0
0.09183673469387756,3,3,2,0,1,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,2,2,4,0,80.0,0.0,6.142063950132749,2
0.09183673469387756,3,3,2,0,2,1,2,4,0,65.0,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,4,0,90.0,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,61.0,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,1,4,0,190.0,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,1,1,4,0,98.0,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,1,2,4,0,137.2142857142857,0.0,5.952233637308093,2
0.09183673469387756,3,3,1,0,2,1,2,4,0,48.0,0.0,5.739039593674248,2
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,1,0,2,4,0,80.0,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,1,2,4,0,57.0,0.0,5.9,2
0.09183673469387756,3,3,2,0,1,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,3,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,85.0,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,4,0,88.0,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,4,0,90.0,0.0,6.27,2
0.09183673469387756,3,3,2,0,2,0,2,3,1,137.2142857142857,0.0,0.0,0
