OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
0,3,1833,0,2,3,4,1,0,1,4,2,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,4.78,1
1,4,1835,2,2,2,2,3,2,1,0,0,0,0,1,0,0,1,0.007692307692307693,5.578095744680851,4.95,1
2,3,1911,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
1,4,1669,1,2,2,1,4,0,0,0,0,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,5.24,1
0,5,2026,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
0,5,2008,0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.82,2
2,5,1824,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
0,3,1991,0,1,2,3,1,1,1,2,3,1,0,1,0,1,0,0.007692307692307693,5.578095744680851,5.45,1
1,3,2011,3,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0.0,6.38,2.886854703174771,0
2,3,1936,1,2,3,2,3,1,1,4,3,0,0,1,1,0,0,0.007692307692307693,6.83,5.89,2
2,3,2188,2,2,0,1,1,1,0,4,4,2,0,1,0,1,0,0.0,6.37,2.83,0
1,3,1657,3,0,2,2,3,1,1,0,0,0,0,1,1,1,0,0.007692307692307693,5.578095744680851,5.3,1
0,3,2003,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0.0,6.41,3.163892700892594,1
1,3,2194,2,2,2,2,1,1,1,0,0,0,0,1,0,1,0,0.0,5.02,3.72853841913274,1
1,2,1757,3,2,1,1,4,0,0,0,0,0,0,1,1,1,0,0.007692307692307693,5.578095744680851,4.44,1
2,3,1883,2,2,1,1,2,2,1,0,0,0,0,0,0,1,1,0.0,5.578095744680851,3.19,1
2,3,1911,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0,5.49,10.0,2
2,3,2217,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6.43,10.0,2
1,3,1853,0,2,2,3,1,0,1,2,4,0,0,0,0,0,0,0.0,5.578095744680851,5.22,1
1,3,1916,1,1,0,3,1,1,1,2,1,0,1,0,0,0,0,0.0,5.578095744680851,10.0,2
0,3,2009,1,1,1,2,1,1,2,4,2,2,0,1,0,0,0,0.0,5.3,4.423080467628129,1
1,3,2194,1,0,1,1,0,1,2,4,2,1,1,1,0,1,0,0.0,6.52,3.514974388361911,1
0,3,2224,0,0,2,1,1,1,1,2,2,1,0,0,0,0,0,0.0,6.25,4.559374261686095,1
3,5,2183,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.57,10.0,2
1,5,1801,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
1,5,1735,0,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.05,1
2,3,1890,0,0,3,1,1,1,3,3,1,1,0,0,0,0,0,0.0,4.17,4.563335015589712,1
2,3,2043,0,1,3,2,1,1,1,0,0,0,0,0,0,1,0,0.0,4.41,3.841467562780769,1
0,3,1864,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0.0,4.63,10.0,2
0,5,2146,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
3,5,2175,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,4.47,10.0,2
0,5,2169,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
2,3,1973,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0.0,3.7,10.0,2
2,3,2166,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,4.03,10.0,2
3,3,2079,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,3,2283,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0.0,4.43,10.0,2
1,3,2147,0,2,3,3,1,1,1,4,2,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,4.47,1
1,2,2232,0,2,2,2,2,0,0,2,3,1,0,0,0,1,0,0.007692307692307693,5.578095744680851,5.96,2
0,1,2073,0,2,1,3,1,1,2,3,1,2,0,1,0,0,1,0.007692307692307693,5.578095744680851,4.15,1
0,1,2062,4,2,2,3,0,0,1,2,2,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,4.69,1
1,3,2082,0,0,1,3,3,1,1,3,2,1,0,1,0,1,0,0.0,5.578095744680851,3.336624223566059,1
0,3,1970,3,2,1,3,2,2,2,0,0,0,0,1,0,0,2,0.007692307692307693,5.578095744680851,3.86,1
0,1,2207,3,2,1,2,4,0,1,0,0,0,0,1,0,0,1,0.0,5.578095744680851,3.52,1
0,3,2202,2,2,2,2,3,1,1,0,0,0,0,0,0,0,1,0.0,5.578095744680851,4.53,1
1,3,2065,3,1,0,1,3,0,2,0,0,0,0,1,0,1,2,0.007692307692307693,5.578095744680851,4.14,1
1,5,2082,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
0,5,2032,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.0,5.578095744680851,10.0,2
1,5,2180,0,2,2,1,4,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,6.32,2
0,5,2111,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.0,5.578095744680851,10.0,2
1,3,2079,0,2,2,2,3,0,1,0,0,0,0,1,0,0,1,0.0,5.578095744680851,4.48,1
0,5,1943,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
0,0,1888,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
2,5,2232,0,2,2,2,3,0,1,0,0,0,0,0,0,1,1,0.0,5.578095744680851,5.18,1
2,5,2232,0,2,2,3,1,1,1,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,5.18,1
1,5,2217,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,5,2099,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,5,1987,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,1,2221,1,2,3,3,1,0,0,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,3.74,1
0,3,2062,3,2,1,2,3,1,2,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,4.95,1
0,3,2062,2,1,0,1,3,2,1,0,0,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,3.39,1
