OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F40,F50,F51,F52,F66,S2,NR_Benefit,NR Benefit Rating
3,2,4,0.09183673469387756,3,3,1,1,1,0,2,4,0,0,137.2142857142857,0.4444444444444444,5.06,1
3,2,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,104.0,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
2,2,5,0.09183673469387756,3,3,2,0,1,0,0,4,0,0,75.0,0.0,0.0,0
2,2,5,0.09183673469387756,3,3,2,0,1,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,1,0,2,0,2,4,0,0,80.0,0.0,3.717948717948717,1
4,2,4,0.09183673469387756,3,3,2,0,2,0,1,4,0,0,65.0,0.0,0.0,0
2,1,5,0.09183673469387756,3,3,0,0,2,4,0,4,0,0,90.0,0.0,10.0,2
3,2,5,0.09183673469387756,3,3,2,0,2,0,0,4,0,0,61.0,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,1,0,2,1,0,4,0,0,190.0,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,1,0,2,1,1,4,0,0,98.0,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,0,0,2,2,1,4,0,0,137.2142857142857,0.0,4.615384615384615,1
1,1,4,0.09183673469387756,3,3,1,0,2,1,1,4,0,0,48.0,0.0,10.0,2
3,2,5,0.09183673469387756,3,3,2,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,5,0.09183673469387756,3,3,2,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,2,0,1,0,0,4,0,0,80.0,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,1,0,2,2,1,4,0,0,57.0,0.0,3.72,1
0,0,4,0.09183673469387756,3,3,2,0,1,0,0,4,0,0,137.2142857142857,0.0,10.0,2
1,0,4,0.09183673469387756,3,3,2,0,2,0,0,3,1,0,137.2142857142857,0.0,10.0,2
0,2,5,0.09183673469387756,3,3,1,0,2,2,0,4,0,0,85.0,0.0,0.0,0
0,2,5,0.09183673469387756,3,3,0,0,2,1,0,4,0,0,88.0,0.0,0.0,0
1,0,3,0.09183673469387756,3,3,0,0,2,4,0,4,0,0,90.0,0.0,10.0,2
0,1,2,0.09183673469387756,3,3,2,0,2,0,0,3,1,1,137.2142857142857,0.0,10.0,2
