OF22,OF26,OF27,F17,F20,F22,F28,F29,F31,F33,F34,F35,F36,F41,F42,F44,F49,S5,SR,SR_Function
0,1,1907,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0.0,2.360944377751101,0
2,3,1907,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1479,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0.0,2.003138604839527,0
1,3,1523,0,0,2,1,1,4,3,2,2,1,0,0,0,0,0.0,3.394537246912535,0
0,3,1523,1,1,3,1,1,1,2,2,4,1,1,0,0,0,0.0,3.50558166467964,1
1,4,1909,0,1,1,1,1,2,2,3,4,1,1,0,1,0,0.0,3.073673531374684,0
2,3,2195,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.4,1
2,3,2009,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,2166,1,1,3,1,1,2,3,3,4,1,1,0,0,0,0.0,4.41,1
2,3,2241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,6.28,1
2,3,2241,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,2341,0,1,3,1,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
0,3,2341,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0.0,10.0,2
0,1,2292,2,1,3,1,1,0,0,0,0,0,1,0,1,0,0.0,3.07,0
2,3,2075,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.64,1
