Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,3.86,1
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,3.163892700892594,1
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,3.76,1
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,2.886854703174771,0
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,2.55,0
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,2.102052784940993,0
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,3.336624223566059,1
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,4.22531539094402,1
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,5.200511394958771,1
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,3.374174554582029,1
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,3.658444467902927,1
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,3.082394575057934,1
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,4.15,1
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,3.35,1
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,2.65,0
