Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,WS,WS_Function
2,3,3,1,2,1,3,0,0,2,0,0.0,47.0,47.0,7,2.0214568040655,0
4,5,3,5,2,1,1,0,0,4,3,0.0,46.7,46.7,5,2.19,0
4,5,3,5,3,1,1,0,0,4,0,0.0,46.0,46.0,9,1.592603049124788,0
3,5,3,4,0,3,4,0,0,4,2,0.0,42.3,42.3,1,5.54,1
1,7,1,1,0,1,1,0,0,1,0,0.0,40.3,40.3,1,1.49,0
4,6,0,5,0,1,1,0,2,4,0,0.0,33.0,33.0,11,3.01,1
1,1,1,1,0,1,1,0,2,1,0,0.0,32.7,32.7,1,1.37,0
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,0.51,0
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,1.641727837380011,0
3,6,3,4,0,3,3,0,2,4,0,0.0,31.0,31.0,1,6.68,2
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,5.57,1
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,5.11,1
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,5.86,1
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,4.91,1
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,2.450310559006211,0
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,2.4,0
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,1.71,0
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,5.03,1
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,0.49,0
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,4.67,1
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,1.171654432523998,0
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,1.813241106719368,0
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,5.18,1
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,2.53,0
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,5.756634669678149,1
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,2.48,0
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,2.7,1
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,1.66,0
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,0.87,0
3,6,0,4,0,3,3,0,1,4,0,0.0,12.7,12.7,8,6.783596837944664,2
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,5.296442687747035,1
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,1.34,0
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,2.04,0
3,6,3,4,0,3,1,0,1,4,0,0.0,9.0,9.0,4,10.4,2
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,2.14,0
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,4.368294748729531,1
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,1.51,0
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,2.693393562958781,0
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,2.72,1
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,5.158808582721626,1
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,1.93,0
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,1.632128740824393,0
1,1,1,1,0,1,1,0,1,2,0,0.0,2.0,2.0,1,7.411773009599097,2
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,1.112365894974591,0
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,0.5580180688876342,0
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,-0.5714285714285713,0
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,0.726990400903445,0
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,0.8949745906267642,0
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,-0.6900056465273857,0
3,6,3,6,0,3,1,0,1,4,0,0.0,0.0,0.0,4,8.13,2
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,0.88,0
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,1.81,0
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,1.77,0
